,titolo,recensione_voto_numerico,recensione_voto_parola,numero_recensioni,date,permanenza,prezzo,indirizzo,valutazione
456,Hotel Trecento,"9,7",Eccezionale,6 recensioni,1 agosto - 2 agosto,"1 notte, 2 adulti",206 €,"Pantheon, Roma - In pieno centro",3
457,Donatello Hotel,"7,7",Ottimo,1.186 recensioni,1 agosto - 2 agosto,"1 notte, 2 adulti",110 €,"Stazione centrale Roma Termini, Roma - A 0,2 km dal centro",3
458,Hotel Palazzo Manfredi – Small Luxury Hotels of the World,"9,0",Eccezionale,147 recensioni,1 agosto - 2 agosto,"1 notte, 2 adulti",624 €,"Colosseo e Foro Romano, Roma - In pieno centro",5
459,Hotel Prati,"8,2",Fantastico,2.129 recensioni,1 agosto - 2 agosto,"1 notte, 2 adulti",129 €,"Città del Vaticano, Roma - In pieno centro",2
460,Vanity Navona,"9,1",Eccezionale,2.068 recensioni,1 agosto - 2 agosto,"1 notte, 2 adulti",227 €,"Piazza Navona, Roma - In pieno centro",2
461,Hotel Virginia,"8,0",Fantastico,2.460 recensioni,1 agosto - 2 agosto,"1 notte, 2 adulti",107 €,"Stazione centrale Roma Termini, Roma - In pieno centro",2
462,Heart of San Lorenzo,"7,5",Ottimo,533 recensioni,1 agosto - 2 agosto,"1 notte, 2 adulti",104 €,"Stazione centrale Roma Termini, Roma - A 0,3 km dal centro",4
463,Villa Angeli - Casa per Ferie,"7,6",Ottimo,1 recensioni,1 agosto - 2 agosto,"1 notte, 2 adulti",132 €,"Aurelio e Monteverde, Roma - A 1,2 km dal centro",3
464,Hello Roma B&B,"7,5",Ottimo,884 recensioni,1 agosto - 2 agosto,"1 notte, 2 adulti",120 €,"Eur e Garbatella, Roma - A 2,7 km dal centro",3
465,Hotel Emona Aquaeductus,"8,8",Fantastico,2.040 recensioni,1 agosto - 2 agosto,"1 notte, 2 adulti",158 €,"Stazione centrale Roma Termini, Roma - A 0,2 km dal centro",4
466,Lirico Hotel,"8,6",Fantastico,2.446 recensioni,1 agosto - 2 agosto,"1 notte, 2 adulti",143 €,"Stazione centrale Roma Termini, Roma - In pieno centro",3
467,Navona Comfort Rooms,"9,5",Eccezionale,115 recensioni,1 agosto - 2 agosto,"1 notte, 2 adulti",174 €,"Piazza Navona, Roma - In pieno centro",4
468,Hotel Elite,"8,5",Fantastico,939 recensioni,1 agosto - 2 agosto,"1 notte, 2 adulti",140 €,"Piazza di Spagna, Roma - In pieno centro",3
469,Hotel Il Papavero,"8,3",Fantastico,858 recensioni,1 agosto - 2 agosto,"1 notte, 2 adulti",116 €,"Stazione centrale Roma Termini, Roma - In pieno centro",1
470,Exe International Palace,"8,2",Fantastico,4.337 recensioni,1 agosto - 2 agosto,"1 notte, 2 adulti",1.155 €,"Monti, Roma - In pieno centro",4
471,AFFITTACAMERE ROMANSTYLE,"8,0",Fantastico,1.712 recensioni,1 agosto - 2 agosto,"1 notte, 2 adulti",160 €,"Stazione centrale Roma Termini, Roma - In pieno centro",3
472,Relais Santa Maria Maggiore,"8,2",Fantastico,692 recensioni,1 agosto - 2 agosto,"1 notte, 2 adulti",154 €,"Monti, Roma - In pieno centro",3
473,The Spanish Suite Campo de' Fiori,"8,1",Fantastico,47 recensioni,1 agosto - 2 agosto,"1 notte, 2 adulti",316 €,"Pantheon, Roma - In pieno centro",3
474,Hotel San Giovanni Roma,"8,4",Fantastico,2.142 recensioni,1 agosto - 2 agosto,"1 notte, 2 adulti",159 €,"Appio Latino, Roma - A 0,5 km dal centro",4
475,DG Prestige room,"8,3",Fantastico,1.083 recensioni,1 agosto - 2 agosto,"1 notte, 2 adulti",140 €,"Via Veneto, Roma - In pieno centro",3
476,Hotel Artorius,"9,4",Eccezionale,5 recensioni,1 agosto - 2 agosto,"1 notte, 2 adulti",139 €,"Monti, Roma - In pieno centro",2
477,Mercure Roma Corso Trieste Hotel,"8,5",Fantastico,1.342 recensioni,1 agosto - 2 agosto,"1 notte, 2 adulti",115 €,"Nomentano, Roma - A 1,6 km dal centro",4
478,Hotel Pantheon,"8,5",Fantastico,216 recensioni,1 agosto - 2 agosto,"1 notte, 2 adulti",335 €,"Pantheon, Roma - In pieno centro",4
479,Hotel Lodi Roma,"8,2",Fantastico,595 recensioni,1 agosto - 2 agosto,"1 notte, 2 adulti",117 €,"Appio Latino, Roma - A 1,2 km dal centro",2
480,The Right Place - Guest House,"8,9",Fantastico,22 recensioni,1 agosto - 2 agosto,"1 notte, 2 adulti",129 €,"San Giovanni, Roma - A 0,7 km dal centro",4
481,Giuturna Boutique Hotel,"8,7",Fantastico,1.237 recensioni,1 agosto - 2 agosto,"1 notte, 2 adulti",179 €,"Fontana di Trevi, Roma - In pieno centro",3
482,Residence Regola,"9,2",Eccezionale,896 recensioni,1 agosto - 2 agosto,"1 notte, 2 adulti",187 €,"Piazza Navona, Roma - In pieno centro",3
483,Hotel Cinquantatre,"8,4",Fantastico,1.467 recensioni,1 agosto - 2 agosto,"1 notte, 2 adulti",179 €,"Via Veneto, Roma - In pieno centro",3
484,Best Western Artdeco Hotel,"8,1",Fantastico,1.514 recensioni,1 agosto - 2 agosto,"1 notte, 2 adulti",139 €,"Stazione centrale Roma Termini, Roma - In pieno centro",4
485,AT FORTY-ONE,"9,2",Eccezionale,605 recensioni,1 agosto - 2 agosto,"1 notte, 2 adulti",208 €,"Stazione centrale Roma Termini, Roma - In pieno centro",4
486,Palm Gallery Hotel,"8,8",Fantastico,13 recensioni,1 agosto - 2 agosto,"1 notte, 2 adulti",227 €,"Nomentano, Roma - A 1,0 km dal centro",3
487,Terrace Pantheon Relais,"9,2",Eccezionale,1.286 recensioni,1 agosto - 2 agosto,"1 notte, 2 adulti",366 €,"Pantheon, Roma - In pieno centro",4
488,Hotel Erdarelli,"8,4",Fantastico,383 recensioni,1 agosto - 2 agosto,"1 notte, 2 adulti",197 €,"Piazza di Spagna, Roma - In pieno centro",3
489,Hotel Vespasiano,"9,2",Eccezionale,226 recensioni,1 agosto - 2 agosto,"1 notte, 2 adulti",209 €,"Città del Vaticano, Roma - In pieno centro",4
490,InnsideRome,"8,8",Fantastico,379 recensioni,1 agosto - 2 agosto,"1 notte, 2 adulti",139 €,"Città del Vaticano, Roma - A 0,3 km dal centro",4
491,Marco Polo Rome Hotel,"8,0",Fantastico,714 recensioni,1 agosto - 2 agosto,"1 notte, 2 adulti",196 €,"Stazione centrale Roma Termini, Roma - In pieno centro",3
492,Rose Garden Palace by OMNIA hotels,"9,1",Eccezionale,94 recensioni,1 agosto - 2 agosto,"1 notte, 2 adulti",192 €,"Via Veneto, Roma - In pieno centro",4
493,"Hotel Canada, BW Premier Collection","9,0",Eccezionale,2.002 recensioni,1 agosto - 2 agosto,"1 notte, 2 adulti",177 €,"Stazione centrale Roma Termini, Roma - In pieno centro",3
494,Rosa Italia Hotel Roma,"8,6",Fantastico,5 recensioni,1 agosto - 2 agosto,"1 notte, 2 adulti",103 €,"Policlinico, Roma - A 0,8 km dal centro",3
495,Vatican Luxury Suite,"8,7",Fantastico,583 recensioni,1 agosto - 2 agosto,"1 notte, 2 adulti",136 €,"Città del Vaticano, Roma - A 0,9 km dal centro",3
496,The Dream,"8,9",Fantastico,572 recensioni,1 agosto - 2 agosto,"1 notte, 2 adulti",130 €,"Stazione centrale Roma Termini, Roma - In pieno centro",3
497,Corso Boutique Luxury Rooms,"9,5",Eccezionale,23 recensioni,1 agosto - 2 agosto,"1 notte, 2 adulti",198 €,"Piazza di Spagna, Roma - In pieno centro",4
498,Hotel Porta Pia,"8,7",Fantastico,20 recensioni,1 agosto - 2 agosto,"1 notte, 2 adulti",113 €,"Nomentano, Roma - A 0,2 km dal centro",3
499,tagliaferri lucia,"8,6",Fantastico,1.283 recensioni,1 agosto - 2 agosto,"1 notte, 2 adulti",132 €,"Stazione centrale Roma Termini, Roma - In pieno centro",4
500,THE GUARDIAN,"8,7",Fantastico,685 recensioni,1 agosto - 2 agosto,"1 notte, 2 adulti",157 €,"Stazione centrale Roma Termini, Roma - In pieno centro",4
501,Villa Riari,"8,9",Fantastico,2.294 recensioni,1 agosto - 2 agosto,"1 notte, 2 adulti",385 €,"Trastevere, Roma - A 0,2 km dal centro",3
502,Martius Private Suites,"9,4",Eccezionale,43 recensioni,1 agosto - 2 agosto,"1 notte, 2 adulti",711 €,"Pantheon, Roma - In pieno centro",4
503,La Vite Vaticana,"9,0",Eccezionale,752 recensioni,1 agosto - 2 agosto,"1 notte, 2 adulti",135 €,"Città del Vaticano, Roma - In pieno centro",3
504,Suite della Pigna,"9,1",Eccezionale,695 recensioni,1 agosto - 2 agosto,"1 notte, 2 adulti",326 €,"Fontana di Trevi, Roma - In pieno centro",4
505,Rooms da Pisicchio,"9,5",Eccezionale,9 recensioni,1 agosto - 2 agosto,"1 notte, 2 adulti",109 €,"Aeroporto di Fiumicino, Roma - A 23,2 km dal centro",3
506,Residenza Frattina,"8,7",Fantastico,919 recensioni,1 agosto - 2 agosto,"1 notte, 2 adulti",172 €,"Piazza di Spagna, Roma - In pieno centro",3
507,Otivm Hotel,"9,1",Eccezionale,1.371 recensioni,1 agosto - 2 agosto,"1 notte, 2 adulti",324 €,"Colosseo e Foro Romano, Roma - In pieno centro",4
508,Garner Hotel Rome Aurelia,"8,1",Fantastico,1.750 recensioni,1 agosto - 2 agosto,"1 notte, 2 adulti",149 €,"Aurelio e Monteverde, Roma - A 3,1 km dal centro",4
509,Hotel The Building,"8,5",Fantastico,13 recensioni,1 agosto - 2 agosto,"1 notte, 2 adulti",185 €,"Stazione centrale Roma Termini, Roma - In pieno centro",4
510,Torre Argentina Relais - Residenze di Charme,"9,4",Eccezionale,1.812 recensioni,1 agosto - 2 agosto,"1 notte, 2 adulti",282 €,"Pantheon, Roma - In pieno centro",4
511,Al Pantheon Con Thomas Mann,"7,6",Ottimo,634 recensioni,1 agosto - 2 agosto,"1 notte, 2 adulti",142 €,"Pantheon, Roma - In pieno centro",3
512,Alpi Hotel,"8,8",Fantastico,2.511 recensioni,1 agosto - 2 agosto,"1 notte, 2 adulti",204 €,"Stazione centrale Roma Termini, Roma - In pieno centro",4
513,Hotel Domus Rome,"8,4",Fantastico,562 recensioni,1 agosto - 2 agosto,"1 notte, 2 adulti",192 €,"Stazione centrale Roma Termini, Roma - In pieno centro",1
514,Prassede Palace Hotel,"8,4",Fantastico,627 recensioni,1 agosto - 2 agosto,"1 notte, 2 adulti",238 €,"Stazione centrale Roma Termini, Roma - In pieno centro",4
515,Boutique Hotel Campo de' Fiori,"9,3",Eccezionale,7 recensioni,1 agosto - 2 agosto,"1 notte, 2 adulti",470 €,"Piazza Navona, Roma - In pieno centro",3
516,Abitart Hotel,"8,6",Fantastico,2.640 recensioni,1 agosto - 2 agosto,"1 notte, 2 adulti",156 €,"Eur e Garbatella, Roma - A 1,4 km dal centro",4
517,Ripetta Central Suites,"8,7",Fantastico,9 recensioni,1 agosto - 2 agosto,"1 notte, 2 adulti",163 €,"Piazza di Spagna, Roma - In pieno centro",4
518,The H'All Tailor Suite Roma,"8,5",Fantastico,110 recensioni,1 agosto - 2 agosto,"1 notte, 2 adulti",351 €,"Flaminio e Parioli, Roma - A 99 m dal centro",5
519,Fanti B&B,"6,8",Buono,456 recensioni,1 agosto - 2 agosto,"1 notte, 2 adulti",109 €,"Stazione centrale Roma Termini, Roma - In pieno centro",3
520,I Fiumi Di Navona,"8,5",Fantastico,595 recensioni,1 agosto - 2 agosto,"1 notte, 2 adulti",183 €,"Pantheon, Roma - In pieno centro",4
521,Atlante Star Hotel,"8,2",Fantastico,2.091 recensioni,1 agosto - 2 agosto,"1 notte, 2 adulti",345 €,"Città del Vaticano, Roma - In pieno centro",4
522,Arch Rome Suites,"9,2",Eccezionale,1.657 recensioni,1 agosto - 2 agosto,"1 notte, 2 adulti",225 €,"Pantheon, Roma - In pieno centro",3
523,Hotel Locarno,"9,4",Eccezionale,859 recensioni,1 agosto - 2 agosto,"1 notte, 2 adulti",500 €,"Piazza di Spagna, Roma - In pieno centro",5
524,The B Place,"8,1",Fantastico,1.607 recensioni,1 agosto - 2 agosto,"1 notte, 2 adulti",143 €,"Città del Vaticano, Roma - In pieno centro",3
525,Antico Albergo Sole Al Pantheon,"9,1",Eccezionale,1.849 recensioni,1 agosto - 2 agosto,"1 notte, 2 adulti",462 €,"Pantheon, Roma - In pieno centro",4
526,Porto Romano - The Marina Resort,"9,3",Eccezionale,3 recensioni,1 agosto - 2 agosto,"1 notte, 2 adulti",282 €,"Aeroporto di Fiumicino, Roma - A 23,9 km dal centro",4
527,Arenula Suites,"8,7",Fantastico,926 recensioni,1 agosto - 2 agosto,"1 notte, 2 adulti",221 €,"Pantheon, Roma - In pieno centro",4
528,River Chateau Hotel,"8,7",Fantastico,1.148 recensioni,1 agosto - 2 agosto,"1 notte, 2 adulti",143 €,"Flaminio e Parioli, Roma - A 2,8 km dal centro",4
529,504 Corso Suites Roma,"9,4",Eccezionale,19 recensioni,1 agosto - 2 agosto,"1 notte, 2 adulti",206 €,"Piazza di Spagna, Roma - In pieno centro",4
530,"Room Mate Collection Filippo, Rome-Fontana di Trevi","9,4",Eccezionale,1.335 recensioni,1 agosto - 2 agosto,"1 notte, 2 adulti",358 €,"Via Veneto, Roma - In pieno centro",4
531,Adelaide Suite Dreams,"9,6",Eccezionale,6 recensioni,1 agosto - 2 agosto,"1 notte, 2 adulti",277 €,"Piazza di Spagna, Roma - In pieno centro",4
532,Hotel Mosaic Central Rome,"7,7",Ottimo,3.082 recensioni,1 agosto - 2 agosto,"1 notte, 2 adulti",156 €,"Monti, Roma - In pieno centro",3
533,Mosaic Central Guest House,"8,5",Fantastico,31 recensioni,1 agosto - 2 agosto,"1 notte, 2 adulti",136 €,"Monti, Roma - In pieno centro",3
534,Hotel Teatro Pace,"8,8",Fantastico,321 recensioni,1 agosto - 2 agosto,"1 notte, 2 adulti",213 €,"Piazza Navona, Roma - In pieno centro",3
535,Hotel Fiori,"8,3",Fantastico,1.572 recensioni,1 agosto - 2 agosto,"1 notte, 2 adulti",150 €,"Monti, Roma - In pieno centro",2
536,Forum Hotel,"8,4",Fantastico,2.534 recensioni,1 agosto - 2 agosto,"1 notte, 2 adulti",273 €,"Colosseo e Foro Romano, Roma - In pieno centro",4
537,Hotel Farnese,"8,0",Fantastico,48 recensioni,1 agosto - 2 agosto,"1 notte, 2 adulti",186 €,"Città del Vaticano, Roma - A 51 m dal centro",4
538,Guest House Grazioli,"8,7",Fantastico,457 recensioni,1 agosto - 2 agosto,"1 notte, 2 adulti",246 €,"Pantheon, Roma - In pieno centro",3
539,Hotel San Francesco,"8,9",Fantastico,15 recensioni,1 agosto - 2 agosto,"1 notte, 2 adulti",245 €,"Trastevere, Roma - A 0,1 km dal centro",3
