,titolo,recensione_voto_numerico,recensione_voto_parola,numero_recensioni,date,permanenza,prezzo,indirizzo,valutazione
112,UNA HOTELS Decò Roma,"8,8",Fantastico,5.083 recensioni,1 agosto - 2 agosto,"1 notte, 2 adulti",€231,"Stazione centrale Roma Termini, Roma - In pieno centro",4
113,La Villetta Fiera Airport,"8,7",Fantastico,137 recensioni,1 agosto - 2 agosto,"1 notte, 2 adulti",€95,"Aeroporto di Fiumicino, Roma - A 12,7 km dal centro",3
114,Hotel Altavilla,"6,6",Buono,377 recensioni,1 agosto - 2 agosto,"1 notte, 2 adulti",€102,"Stazione centrale Roma Termini, Roma - In pieno centro",2
115,Ginevra Palace Hotel,"7,0",Ottimo,235 recensioni,1 agosto - 2 agosto,"1 notte, 2 adulti",€87,"Aurelio e Monteverde, Roma - A 3,7 km dal centro",3
116,Freedom Traveller Hostel,"6,9",Buono,553 recensioni,1 agosto - 2 agosto,"1 notte, 2 adulti",€119,"Stazione centrale Roma Termini, Roma - In pieno centro",4
117,Hotel Filippo Roma,"7,7",Ottimo,942 recensioni,1 agosto - 2 agosto,"1 notte, 2 adulti",€83,"Stazione centrale Roma Termini, Roma - In pieno centro",2
118,Urban Garden Hotel,"7,9",Ottimo,1.501 recensioni,1 agosto - 2 agosto,"1 notte, 2 adulti",€154,"Roma Est, Roma - A 5,7 km dal centro",3
119,Fabulous Village,"8,3",Fantastico,6.458 recensioni,1 agosto - 2 agosto,"1 notte, 2 adulti",€213,"Ostia, Roma - A 13,5 km dal centro",4
120,Casa I Cappuccini,"8,8",Fantastico,1.585 recensioni,1 agosto - 2 agosto,"1 notte, 2 adulti",€133,"Via Veneto, Roma - In pieno centro",4
121,Hotel Imperatori,"7,7",Ottimo,845 recensioni,1 agosto - 2 agosto,"1 notte, 2 adulti",€77,"Roma Nord, Roma - A 8,2 km dal centro",4
122,Golden Tulip Rome Piram,"8,2",Fantastico,2.886 recensioni,1 agosto - 2 agosto,"1 notte, 2 adulti",€204,"Stazione centrale Roma Termini, Roma - In pieno centro",3
123,Hampton Inn Rome East,"8,4",Fantastico,38 recensioni,1 agosto - 2 agosto,"1 notte, 2 adulti",€103,"Roma Est, Roma - A 8,2 km dal centro",4
124,Glamour Spanish Steps,"6,9",Buono,448 recensioni,1 agosto - 2 agosto,"1 notte, 2 adulti",€78,"Flaminio e Parioli, Roma - In pieno centro",4
125,Gioberti Hotel,"8,2",Fantastico,1.365 recensioni,1 agosto - 2 agosto,"1 notte, 2 adulti",€181,"Stazione centrale Roma Termini, Roma - In pieno centro",4
126,Suite Opera Rooms                                                               ,"7,9",Ottimo,94 recensioni,1 agosto - 2 agosto,"1 notte, 2 adulti",€117,"Stazione centrale Roma Termini, Roma - In pieno centro",3
127,Albergo Marisa                                                                  ,"8,0",Fantastico,5.332 recensioni,1 agosto - 2 agosto,"1 notte, 2 adulti",€137,"Stazione centrale Roma Termini, Roma - In pieno centro",3
128,Relais Monti,"8,7",Fantastico,1.784 recensioni,1 agosto - 2 agosto,"1 notte, 2 adulti",€214,"Monti, Roma - In pieno centro",4
129,Augusta Lucilla Palace Hotel,"8,6",Fantastico,8.084 recensioni,1 agosto - 2 agosto,"1 notte, 2 adulti",€166,"Stazione centrale Roma Termini, Roma - In pieno centro",4
130,Rome Marriott Park Hotel,"7,7",Ottimo,2.873 recensioni,1 agosto - 2 agosto,"1 notte, 2 adulti",€200,"Roma Ovest, Roma - A 9,2 km dal centro",4
131,Hotel Artemide,"9,3",Eccezionale,2.798 recensioni,1 agosto - 2 agosto,"1 notte, 2 adulti",€368,"Stazione centrale Roma Termini, Roma - In pieno centro",4
